City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Tasiilaq,0,GL,1572065312,68,65.61,-37.64,269.15,2.6
Bredasdorp,45,ZA,1572065312,87,-34.53,20.04,286.15,1.5
Tura,2,RU,1572065313,81,64.27,100.22,264.78,0.69
Plettenberg Bay,100,ZA,1572065313,88,-34.05,23.37,287.89,1.74
Muroto,75,JP,1572065313,47,33.37,134.14,298.15,3.1
Vaini,75,IN,1572065313,100,15.34,74.49,297.15,4.1
Barhi,75,IN,1572065314,94,24.31,85.42,295.15,1.0
Rikitea,67,PF,1572065314,84,-23.12,-134.97,295.16,10.97
Hobart,75,AU,1572065314,54,-42.88,147.33,285.15,7.7
Show Low,1,US,1572065314,25,34.25,-110.03,279.15,1.67
Albany,90,US,1572065163,81,42.65,-73.75,283.15,2.6
Namibe,100,AO,1572065315,72,-15.19,12.15,295.35,4.42
Tateyama,75,JP,1572065315,68,36.66,137.31,294.15,1.5
Jamestown,17,AU,1572065315,29,-33.21,138.6,290.08,6.89
New Norfolk,75,AU,1572065315,54,-42.78,147.06,285.15,7.7
Wageningen,90,NL,1572065315,82,51.98,5.66,288.15,7.2
Faanui,13,PF,1572065316,72,-16.48,-151.75,299.66,6.36
Port Alfred,15,ZA,1572065316,76,-33.59,26.89,293.06,5.52
Busselton,94,AU,1572065316,72,-33.64,115.35,292.16,5.87
Klaeng,0,TH,1572065316,60,12.78,101.65,305.64,4.06
Punta Arenas,90,CL,1572065316,93,-53.16,-70.91,279.15,6.2
Mar del Plata,94,AR,1572065081,55,-46.43,-67.52,287.93,7.04
Esperance,67,AU,1572065317,46,-33.86,121.89,295.15,2.1
Avarua,100,CK,1572065317,83,-21.21,-159.78,299.15,3.1
Atuona,96,PF,1572065317,67,-9.8,-139.03,299.69,2.95
Qaanaaq,99,GL,1572065317,92,77.48,-69.36,266.39,1.41
Bathsheba,20,BB,1572065318,74,13.22,-59.52,300.15,3.6
Port Hedland,5,AU,1572065318,55,-20.31,118.58,306.15,7.7
San Cristobal,6,HN,1572065318,95,14.68,-86.92,291.46,1.11
Hofn,58,IS,1572065318,61,64.25,-15.21,276.65,12.69
Port Elizabeth,75,US,1572065318,93,39.31,-74.98,290.15,1.5
Luderitz,3,NA,1572065318,87,-26.65,15.16,288.15,3.1
Arraial do Cabo,84,BR,1572065319,91,-22.97,-42.02,296.16,6.3
San Felipe,100,CL,1572065319,73,-32.75,-70.73,281.32,1.05
Noumea,44,NC,1572065319,39,-22.28,166.46,299.15,6.2
Port Blair,20,IN,1572065319,70,11.67,92.75,304.15,3.6
Loukisia,0,GR,1572065320,52,38.48,23.45,292.15,1.5
Talnakh,75,RU,1572065320,85,69.49,88.39,268.15,6.0
Kampen,90,NL,1572065320,82,52.56,5.9,287.15,7.2
The Valley,20,AI,1572065320,69,18.22,-63.06,301.15,3.6
Cayenne,75,GF,1572065320,94,4.94,-52.33,297.15,1.46
Sola,37,TZ,1572065321,60,-3.17,33.8,296.46,4.07
Dikson,34,RU,1572065321,91,73.51,80.55,262.81,1.41
Letka,0,BA,1572065321,93,43.74,17.27,279.15,1.0
Butaritari,99,KI,1572065321,68,3.07,172.79,302.56,3.41
Wasco,1,US,1572065322,76,35.59,-119.34,295.15,2.09
Saskylakh,0,RU,1572065322,92,71.97,114.09,257.07,4.45
Camacha,20,PT,1572065322,83,33.08,-16.33,294.15,4.1
Mataura,86,NZ,1572065322,80,-46.19,168.86,291.06,1.55
Airai,28,TL,1572065322,34,-8.93,125.41,302.23,3.9
Thompson,40,CA,1572065322,92,55.74,-97.86,271.15,1.5
Provideniya,100,RU,1572065323,88,64.42,-173.23,266.97,7.88
Pisco,75,PE,1572065323,87,-13.71,-76.2,289.15,4.1
Carnarvon,7,ZA,1572065323,62,-30.97,22.13,285.35,2.75
Ekhabi,72,RU,1572065323,71,53.51,142.97,282.49,8.01
Avera,40,US,1572065323,88,33.19,-82.53,295.15,2.6
Kapaa,75,US,1572065323,74,22.08,-159.32,300.15,1.5
Dhenkanal,75,IN,1572065252,78,20.65,85.6,299.15,2.1
Hermanus,73,ZA,1572065324,67,-34.42,19.24,289.28,4.32
Norman Wells,90,CA,1572065324,92,65.28,-126.83,269.15,3.1
Saint-Philippe,20,CA,1572065324,93,45.36,-73.48,280.15,1.5
Barrow,69,AR,1572065325,65,-38.31,-60.23,285.42,3.65
Geraldton,75,CA,1572065325,86,49.72,-86.95,276.15,2.6
Udachnyy,90,RU,1572065325,85,66.42,112.4,263.15,5.0
Tabou,66,CI,1572065325,97,4.42,-7.36,296.42,1.21
Joshimath,0,IN,1572065326,34,30.57,79.57,285.81,3.18
Baruun-Urt,33,MN,1572065326,26,46.68,113.28,279.03,9.53
Ushuaia,40,AR,1572065129,70,-54.81,-68.31,280.15,6.2
Kodiak,1,US,1572065326,69,39.95,-94.76,276.15,3.6
Nikolskoye,40,RU,1572065326,71,59.7,30.79,283.15,5.0
Mount Gambier,75,AU,1572065327,47,-37.83,140.78,288.15,12.3
Harper,1,US,1572065327,70,30.3,-99.24,280.15,3.6
Krasnogvardeyets,1,RU,1572065327,53,46.16,39.17,288.86,0.51
Sao Filipe,100,CV,1572065327,91,14.9,-24.5,297.23,4.35
Sinnamary,4,GF,1572065327,76,5.38,-52.96,300.69,4.29
Lebu,0,ET,1572065328,50,8.96,38.73,288.75,0.82
Honiara,90,SB,1572065328,78,-9.43,159.96,301.15,2.6
Iquique,90,CL,1572065328,67,-20.22,-70.14,290.15,2.6
Meulaboh,77,ID,1572065328,77,4.14,96.13,300.63,4.56
Fortuna,90,US,1572065329,100,40.6,-124.16,285.15,2.6
Ponta do Sol,0,BR,1572065329,88,-20.63,-46.0,292.12,1.29
Labuhan,100,ID,1572065329,51,-2.54,115.51,305.94,1.01
Fuyang,99,CN,1572065329,25,32.89,115.81,291.12,1.4
Cape Town,20,ZA,1572064574,93,-33.93,18.42,282.15,2.1
Cam Ranh,40,VN,1572065330,84,11.92,109.15,303.15,4.6
Kapit,63,MY,1572065330,48,2.02,112.94,307.67,0.7
Toora-Khem,100,RU,1572065330,59,52.47,96.11,271.53,1.98
Victor Harbor,20,AU,1572065330,48,-35.55,138.62,290.15,8.7
Guerrero Negro,0,MX,1572065330,29,27.97,-114.04,295.87,3.27
Cherskiy,41,RU,1572065330,80,68.75,161.3,256.02,4.53
Koumac,63,NC,1572065331,62,-20.56,164.28,294.4,1.98
Kaitangata,71,NZ,1572065331,66,-46.28,169.85,288.29,2.49
Mragowo,100,PL,1572065332,89,53.86,21.31,283.27,5.6
Alofi,100,NU,1572065332,83,-19.06,-169.92,298.15,4.6
Kendari,100,ID,1572065332,51,-3.99,122.52,305.58,2.71
Altay,100,CN,1572065332,96,47.83,88.13,270.06,2.76
Bambous Virieux,20,MU,1572065332,69,-20.34,57.76,299.15,0.99
Lima,90,PE,1572064766,82,-12.06,-77.04,290.15,5.1
Yaan,100,NG,1572065333,96,7.38,8.57,296.53,0.81
Jodar,0,ES,1572065333,57,37.84,-3.35,285.94,2.05
Rosarito,40,CO,1572065333,94,4.91,-75.23,293.15,4.1
Yar-Sale,0,RU,1572065334,85,66.83,70.83,263.54,4.18
Cidreira,2,BR,1572065334,79,-30.17,-50.22,292.46,6.42
Georgetown,20,GY,1572065162,100,6.8,-58.16,297.15,2.1
Zhigansk,100,RU,1572065335,86,66.77,123.37,262.28,4.01
Barela,91,IN,1572065335,65,23.1,80.05,297.89,0.7
Rome,0,IT,1572065085,87,41.89,12.48,290.15,2.1
Tahe,28,CN,1572065335,44,52.34,124.71,275.31,1.44
East London,40,ZA,1572065335,93,-33.02,27.91,290.15,3.6
Dunedin,58,NZ,1572065336,68,-45.87,170.5,288.43,2.34
Hasaki,75,JP,1572065336,56,35.73,140.83,296.15,4.1
Chokurdakh,0,RU,1572065336,87,70.62,147.9,249.95,1.69
Atikokan,91,CA,1572065336,84,48.76,-91.62,275.29,3.49
Yellowknife,5,CA,1572065336,78,62.45,-114.38,264.15,6.7
Victoria,75,BN,1572065296,62,5.28,115.24,305.15,1.5
Boyuibe,69,BO,1572065337,72,-20.43,-63.28,293.31,1.28
Shawinigan,90,CA,1572065337,86,46.54,-72.75,278.15,2.6
Vanimo,63,PG,1572065337,78,-2.67,141.3,300.61,3.68
Zeerust,49,ZA,1572065337,49,-25.54,26.07,295.15,1.5
Oktyabrskoye,75,RU,1572065337,86,56.73,85.44,272.15,4.0
Murchison,64,AU,1572065338,39,-36.62,145.22,289.8,8.78
Zyryanka,37,RU,1572065338,86,65.73,150.89,256.1,2.69
Arlit,95,NE,1572065338,18,18.74,7.39,300.15,2.73
Richards Bay,88,ZA,1572065338,78,-28.77,32.06,295.22,3.12
Kavaratti,40,IN,1572065338,77,10.57,72.64,301.25,9.67
Makakilo City,40,US,1572065212,78,21.35,-158.09,301.15,2.6
Roald,17,NO,1572065339,68,62.58,6.12,279.15,3.1
Salalah,17,OM,1572065339,36,17.01,54.1,299.15,0.5
Qaqortoq,83,GL,1572065339,46,60.72,-46.03,272.15,2.6
Papar,75,MY,1572065339,70,5.73,115.93,306.15,2.6
Bluff,0,AU,1572065340,21,-23.58,149.07,304.5,3.76
Ulladulla,5,AU,1572065340,22,-35.36,150.48,297.15,14.9
Boa Vista,0,BR,1572065340,69,2.82,-60.67,301.15,2.1
Castro,75,CL,1572065340,93,-42.48,-73.76,283.15,5.1
Verkhnyaya Inta,100,RU,1572065340,76,65.99,60.32,269.41,5.81
Honningsvag,100,NO,1572065341,72,70.98,25.97,273.32,8.85
Codrington,17,AU,1572065341,22,-28.95,153.24,306.15,8.2
Inirida,0,CO,1572065341,96,3.87,-67.92,295.21,0.98
Cabra,0,ES,1572065341,87,37.47,-4.43,283.15,1.0
Margate,75,AU,1572065342,58,-43.03,147.26,285.15,7.2
Loandjili,40,CG,1572065342,100,-4.77,11.87,298.15,2.02
Crixas,44,BR,1572065342,87,-14.55,-49.97,296.23,0.81
Curuguaty,8,PY,1572065342,72,-24.47,-55.69,292.81,1.73
Byron Bay,0,AU,1572065343,60,-28.65,153.62,306.15,11.3
Hithadhoo,66,MV,1572065343,79,-0.6,73.08,300.95,6.2
Sheridan,1,US,1572065343,80,39.65,-105.03,281.15,3.73
Khatanga,99,RU,1572065343,89,71.98,102.47,261.15,2.92
Chegdomyn,96,RU,1572065344,86,51.13,133.04,274.44,1.98
Ladario,12,PT,1572065344,75,40.7,-7.74,282.81,2.3
Puerto Ayora,36,EC,1572065344,89,-0.74,-90.35,292.89,3.34
Kruisfontein,70,ZA,1572065344,79,-34.0,24.73,290.22,2.34
Ahipara,0,NZ,1572065345,76,-35.17,173.16,287.41,5.01
Saint George,0,GR,1572065111,71,39.45,22.34,284.15,3.1
Fiumicino,19,IT,1572065345,87,41.77,12.23,290.15,2.1
Vestmannaeyjar,0,IS,1572065345,64,63.44,-20.27,273.93,7.95
Naze,100,NG,1572065345,97,5.43,7.07,296.39,1.47
Russell,1,US,1572065346,55,38.9,-98.86,275.15,4.1
Hilo,90,US,1572065346,83,19.71,-155.08,298.15,3.6
Gornorechenskiy,98,RU,1572065346,90,44.26,135.11,272.96,6.42
Pevek,0,RU,1572065346,83,69.7,170.27,259.21,4.51
Severo-Kurilsk,99,RU,1572065346,84,50.68,156.12,274.59,2.57
Lebanon,75,US,1572065347,81,40.34,-76.42,287.15,1.33
Daru,99,PG,1572065347,73,-9.07,143.21,301.06,4.01
Sisimiut,45,GL,1572065347,65,66.94,-53.67,271.96,5.32
Plouzane,90,FR,1572065347,87,48.38,-4.62,288.15,9.8
San Andres,80,PH,1572065347,63,13.32,122.68,303.59,4.51
Comodoro Rivadavia,100,AR,1572065348,55,-45.87,-67.48,290.15,5.1
Esmeraldas,91,BR,1572065307,68,-19.76,-44.31,297.15,5.1
Hailey,5,US,1572065348,56,43.52,-114.32,279.15,3.6
Torbay,75,CA,1572065348,93,47.66,-52.73,277.15,6.2
Barcelona,0,ES,1572065107,81,41.38,2.18,285.15,4.6
Faya,1,SA,1572065349,67,18.39,42.45,289.15,1.01
Pilikwe,58,BW,1572065349,40,-22.8,27.19,301.04,2.6
Valparaiso,1,US,1572065349,81,41.47,-87.06,277.15,2.4
Anahuac,0,MX,1572065349,53,26.44,-109.02,297.55,2.68
Pascagoula,75,US,1572065349,78,30.37,-88.56,300.15,5.1
Klyuchi,100,RU,1572065350,82,52.25,79.17,277.73,5.48
Leningradskiy,13,RU,1572065350,66,69.38,178.42,264.08,3.46
Kloulklubed,75,PW,1572065350,79,7.04,134.26,302.15,3.1
Lata,0,IN,1572065350,39,30.78,78.62,276.99,3.87
Katangli,100,RU,1572065350,68,51.71,143.23,283.9,0.76
Aklavik,90,CA,1572065351,85,68.22,-135.01,266.15,1.0
Pimentel,0,BR,1572065351,90,-3.7,-45.5,296.63,2.2
Impfondo,77,CD,1572065351,90,1.62,18.06,296.13,0.48
Nishihara,75,JP,1572065351,60,35.74,139.53,298.15,5.7
Kavieng,100,PG,1572065351,64,-2.57,150.8,302.22,0.64
Talgar,20,KZ,1572065351,53,43.3,77.24,283.15,1.0
Blagoyevo,100,RU,1572065352,90,63.37,47.92,279.66,6.35
Fort Nelson,75,CA,1572065352,80,58.81,-122.69,272.15,1.5
Nouadhibou,2,MR,1572065352,61,20.93,-17.03,299.15,4.1
Tuktoyaktuk,90,CA,1572065352,78,69.44,-133.03,265.15,1.5
Merzifon,75,TR,1572065353,71,40.87,35.46,286.15,0.5
Humaita,2,AR,1572065353,67,-24.93,-65.37,297.15,0.46
Tazovskiy,95,RU,1572065353,94,67.47,78.7,266.38,5.31
Nuevo Imperial,48,PE,1572065353,90,-13.08,-76.32,288.42,1.39
Lorengau,100,PG,1572065353,61,-2.02,147.27,302.36,0.2
Muros,49,ES,1572065354,87,42.77,-9.06,286.15,4.6
Praia,40,BR,1572065354,57,-20.25,-43.81,297.15,5.1
Netivot,98,IL,1572065354,42,31.42,34.59,297.95,5.17
Sens,39,FR,1572065354,87,48.2,3.28,284.15,4.1
Narsaq,67,GL,1572065354,46,60.91,-46.05,272.15,2.6
Laguna,98,BZ,1572065355,94,16.17,-88.94,298.15,0.75
Pitimbu,75,BR,1572065355,83,-7.47,-34.81,298.15,3.6
Mahebourg,20,MU,1572065355,69,-20.41,57.7,299.15,2.11
Bowling Green,90,US,1572065111,87,36.99,-86.44,287.15,4.1
Alyangula,90,AU,1572065355,49,-13.85,136.42,307.15,5.7
Tiksi,65,RU,1572065356,87,71.64,128.87,258.93,1.94
Manokwari,91,ID,1572065165,89,-0.87,134.08,297.15,1.02
Biak,7,ID,1572065356,75,-0.91,122.88,301.43,5.31
Tiznit,100,MA,1572065356,24,29.7,-9.73,293.7,0.44
Sovetskiy,84,RU,1572065357,83,56.76,48.47,280.25,9.36
Fairbanks,90,US,1572065357,85,64.84,-147.72,271.15,2.6
Husavik,73,CA,1572065357,79,50.56,-96.99,280.11,8.09
Nantucket,75,US,1572065357,93,41.28,-70.1,287.15,5.43
Souillac,90,FR,1572065357,93,45.6,-0.6,285.15,2.1
Maningrida,64,AU,1572065358,50,-12.05,134.23,304.26,5.19
Lasa,0,CY,1572065358,64,34.92,32.53,293.15,1.5
Pontes e Lacerda,100,BR,1572065358,96,-15.23,-59.33,295.08,1.31
Skara,90,SE,1572065358,100,58.38,13.44,282.15,4.6
Mpika,2,ZM,1572065358,42,-11.84,31.4,297.74,4.66
Yoichi,75,JP,1572065359,67,43.19,140.77,288.15,5.1
Chuy,0,UY,1572065359,89,-33.69,-53.46,288.09,2.39
Dezful,26,IR,1572065118,37,32.38,48.4,299.1,1.6
Tapejara,14,BR,1572065359,57,-23.73,-52.87,294.87,1.21
Los Llanos de Aridane,75,ES,1572065360,88,28.66,-17.92,293.15,2.1
North Platte,1,US,1572065360,55,41.12,-100.77,277.15,1.5
San Patricio,0,PY,1572065360,74,-26.98,-56.83,288.3,2.77
Lavrentiya,72,RU,1572065361,71,65.58,-170.99,268.98,8.36
Nyzy,18,UA,1572065361,85,50.78,34.78,281.75,1.64
Nome,90,US,1572065361,93,30.04,-94.42,286.15,6.7
La Venta del Astillero,40,MX,1572065361,77,20.73,-103.55,291.15,0.83
Clyde River,90,CA,1572065361,94,70.47,-68.59,273.15,8.2
Tefe,100,BR,1572065362,96,-3.35,-64.71,295.82,0.21
Elko,1,US,1572065362,52,40.83,-115.76,279.15,1.5
San Rafael,2,AR,1572065362,60,-34.61,-68.33,291.28,1.77
Vardo,90,US,1572065362,87,39.62,-77.74,287.15,2.1
Jacobina,11,BR,1572065362,95,-11.19,-40.51,289.86,2.46
Magdalena,40,PH,1572065363,52,14.2,121.43,306.15,5.1
Saldanha,16,PT,1572065363,71,41.42,-6.55,283.54,1.17
Ancud,75,CL,1572065363,93,-41.87,-73.83,283.15,5.1
Xining,0,CN,1572065363,43,36.62,101.77,279.67,2.0
Maceio,75,BR,1572065363,94,-9.67,-35.74,296.15,1.0
Shache,0,CN,1572065364,20,38.42,77.24,287.95,0.6
Presidente Medici,100,BR,1572065364,96,-11.18,-61.9,295.85,1.47
Florianopolis,75,BR,1572065364,77,-27.6,-48.55,294.15,4.1
Weyburn,17,CA,1572065169,67,49.67,-103.85,282.21,9.9
Kalamnuri,75,IN,1572065364,94,19.67,77.31,299.15,2.1
Cartersville,90,US,1572065365,88,34.17,-84.8,293.15,1.5
Tanout,53,NE,1572065365,25,14.97,8.88,300.61,3.48
Mocuba,0,MZ,1572065365,40,-16.84,36.99,307.5,3.92
Brylivka,75,UA,1572065365,93,46.42,33.15,279.15,3.0
College,90,US,1572065365,85,64.86,-147.8,273.15,2.6
Tullahoma,90,US,1572065366,93,35.36,-86.21,290.15,2.1
Umm Kaddadah,8,SD,1572065366,20,13.6,26.69,300.16,8.35
Suzun,100,RU,1572065366,93,53.78,82.32,273.92,5.52
Petropavlovsk-Kamchatskiy,63,RU,1572065367,55,53.05,158.65,277.15,3.0
Rocha,0,UY,1572065367,82,-34.48,-54.34,289.26,4.67
Tilichiki,0,RU,1572065367,59,60.47,166.1,264.29,1.93
Westport,90,US,1572065360,93,41.14,-73.36,290.15,2.79
Simao,98,CN,1572065367,75,22.76,100.79,295.94,2.0
Koutiala,1,ML,1572065367,49,12.39,-5.46,299.32,3.18
Eresos,0,GR,1572065368,87,39.17,25.93,288.15,2.1
Fougamou,100,GA,1572065368,97,-1.22,10.59,296.25,0.97
Srednekolymsk,0,RU,1572065368,92,67.46,153.71,251.75,1.37
Puerto Escondido,100,MX,1572065368,99,15.86,-97.07,294.36,1.2
Loveland,1,US,1572065369,80,40.4,-105.08,281.15,1.11
Vangaindrano,0,MG,1572065369,61,-23.35,47.6,302.73,1.19
Sibolga,47,ID,1572065369,93,1.74,98.78,298.75,1.63
Ahuimanu,1,US,1572065370,58,21.44,-157.84,301.15,4.6
Peniche,59,PT,1572065370,93,39.36,-9.38,284.15,2.1
Isangel,75,VU,1572065370,57,-19.55,169.27,299.15,6.2
Hambantota,90,LK,1572065370,100,6.12,81.12,298.15,2.1
Siayan,71,PH,1572065371,62,8.25,123.11,302.83,1.49
Belawan,100,ID,1572065371,71,-0.59,114.46,302.47,1.46
Ribeira Grande,100,PT,1572065371,85,38.52,-28.7,291.23,7.32
Pundaguitan,67,PH,1572065371,68,6.37,126.17,301.85,1.32
Thinadhoo,88,MV,1572065371,78,0.53,72.93,300.78,5.21
Ipixuna,7,BR,1572065372,88,-1.76,-48.8,298.15,2.1
Necochea,43,AR,1572065372,87,-38.55,-58.74,283.03,2.66
Payakumbuh,44,ID,1572065372,80,-0.23,100.63,299.1,1.1
Soyo,100,AO,1572065372,87,-6.13,12.37,298.54,1.2
Mursalimkino,100,RU,1572065372,82,55.04,58.56,278.83,4.94
Miles City,1,US,1572065372,57,46.41,-105.84,282.15,5.1
Along,100,IN,1572065373,98,28.17,94.8,289.22,0.99
Vieste,1,IT,1572065373,93,41.88,16.18,288.15,4.1
Ostrovnoy,100,RU,1572065373,96,68.05,39.51,271.83,12.63
Tuy Hoa,10,VN,1572065373,81,13.08,109.3,300.54,4.72
Umm Lajj,0,SA,1572065373,26,25.02,37.27,298.97,5.01
