City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Petatlan,16,MX,1572065373,78,17.52,-101.27,300.11,2.6
West Wendover,1,US,1572065374,41,40.74,-114.07,279.15,2.6
Blois,59,FR,1572065374,100,47.59,1.33,283.15,1.0
Olenegorsk,100,RU,1572065374,93,68.14,33.28,271.29,7.4
Volkach,40,DE,1572065374,100,49.86,10.23,281.15,1.5
Joniskis,75,LT,1572065374,93,56.24,23.62,283.15,5.1
Viedma,100,AR,1572065375,61,-40.81,-62.99,288.5,6.01
Mount Isa,74,AU,1572065375,14,-20.73,139.49,309.15,3.1
Xiongzhou,20,CN,1572065375,55,32.34,118.83,289.15,2.0
Sorland,100,NO,1572065375,76,67.67,12.69,279.91,3.89
San Juan,0,AR,1572065200,38,-31.54,-68.53,297.24,9.06
Vao,92,EE,1572065376,77,59.1,26.19,280.7,5.65
Campos,52,PT,1572065376,76,41.97,-8.7,286.15,3.6
Shimoda,75,JP,1572065376,83,34.7,138.93,296.15,1.0
Mecca,0,SA,1572065102,43,21.43,39.83,302.09,0.68
Lahaina,1,US,1572065377,65,20.87,-156.68,301.15,6.54
Iqaluit,90,CA,1572065377,81,63.75,-68.52,274.15,1.5
Saucillo,0,MX,1572065377,39,28.03,-105.29,281.56,0.89
Kitami,75,JP,1572065377,81,43.8,143.9,285.15,1.5
State College,75,US,1572065377,66,40.79,-77.86,285.15,0.7
Euless,90,US,1572065338,100,32.84,-97.08,283.15,2.6
Skelleftea,100,SE,1572065378,83,64.75,20.95,274.15,6.2
Zarate,28,MX,1572065378,96,18.92,-101.44,290.8,1.81
Belaya Gora,8,RU,1572065378,93,68.54,146.19,251.07,1.07
Pemba,20,MZ,1572065378,94,-12.97,40.52,298.15,2.1
Tromso,75,NO,1572065198,69,69.65,18.96,275.15,8.7
Lompoc,1,US,1572065277,33,34.64,-120.46,293.15,1.5
Coromandel,100,BR,1572065379,86,-18.47,-47.2,292.14,1.98
Horodyshche,9,UA,1572065379,100,50.76,29.29,282.15,1.0
Constitucion,0,MX,1572065380,68,23.99,-104.67,281.75,1.75
Bredy,100,RU,1572065380,74,52.43,60.33,281.75,5.23
Namatanai,100,PG,1572065380,66,-3.66,152.44,302.42,1.63
Acapulco,40,MX,1572065380,88,16.86,-99.88,299.15,3.6
Kardla,100,EE,1572065380,76,58.44,26.57,283.15,6.2
Lixourion,31,GR,1572065381,87,38.2,20.43,287.15,2.56
Petrokamenskoye,74,RU,1572065381,81,57.72,60.65,279.71,5.5
Gimli,73,CA,1572065381,79,50.63,-96.99,280.11,8.09
Bethel,90,US,1572065113,93,60.79,-161.76,275.15,5.1
Vila Franca do Campo,40,PT,1572065382,83,37.72,-25.43,294.15,4.1
West Bay,20,CA,1572065382,81,49.34,-123.21,284.15,11.8
Mitsamiouli,40,KM,1572065382,69,-11.38,43.28,301.15,2.6
Moses Lake,1,US,1572065382,37,47.13,-119.28,284.15,6.7
Nirgua,100,VE,1572065382,96,10.15,-68.57,292.0,0.18
Najran,47,SA,1572065382,18,17.54,44.22,291.15,2.1
Ketchikan,90,US,1572065383,100,55.34,-131.65,280.15,2.6
Porto Belo,75,BR,1572065383,77,-27.15,-48.54,295.15,4.1
Sao Simao,0,BR,1572065383,64,-21.48,-47.55,296.15,1.5
Williams Lake,75,CA,1572065383,64,52.13,-122.14,275.15,3.6
Quang Ngai,49,VN,1572065263,79,15.12,108.8,300.83,3.82
Boditi,0,ET,1572065384,49,6.95,37.86,292.06,4.0
Marrakesh,50,MA,1572065384,37,31.63,-7.99,292.15,1.0
Beringovskiy,94,RU,1572065384,93,63.05,179.32,266.06,14.28
Lagoa,0,PT,1572065384,77,37.14,-8.45,290.15,4.1
Springhill,100,CA,1572065384,82,45.64,-64.06,276.91,1.04
Hitoyoshi,75,JP,1572065385,60,32.2,130.77,295.15,2.6
Hay River,90,CA,1572065106,68,60.82,-115.79,269.15,3.6
Mahibadhoo,81,MV,1572065385,72,3.78,72.97,301.25,3.83
Baiculesti,0,RO,1572065385,51,45.07,24.7,284.78,0.86
Prudy,7,UA,1572065386,78,51.33,33.8,280.57,2.55
Galveston,1,US,1572065386,86,40.58,-86.19,281.15,1.5
Presidencia Roque Saenz Pena,0,AR,1572065386,55,-26.79,-60.44,292.41,3.79
Ilulissat,74,GL,1572065386,40,69.22,-51.1,274.15,7.2
Gbarnga,83,LR,1572065386,99,7.0,-9.47,293.98,0.62
Veraval,75,FR,1572065125,93,49.65,0.71,288.15,5.1
Caluquembe,92,AO,1572065387,55,-13.78,14.68,294.37,1.34
Halifax,90,CA,1572065387,81,44.65,-63.58,280.15,3.1
Paamiut,65,GL,1572065387,51,61.99,-49.67,274.8,2.37
Kollam,75,IN,1572065387,78,8.88,76.6,301.15,2.1
Teya,40,MX,1572065387,88,21.05,-89.07,298.15,1.19
Berlevag,100,NO,1572065388,76,70.86,29.09,272.76,9.18
Tamala,57,RU,1572065388,84,52.54,43.26,283.02,4.06
Pangnirtung,100,CA,1572065388,99,66.15,-65.72,274.59,1.02
Camargo,0,MX,1572065388,39,27.69,-105.17,282.72,2.6
Surgut,75,RU,1572065389,100,61.25,73.4,267.15,4.0
Azare,96,NG,1572065389,66,11.67,10.19,297.66,1.76
Sungairaya,93,ID,1572065389,62,0.7,108.9,304.26,1.15
Havelock,40,US,1572065389,82,34.88,-76.9,293.15,1.45
Itaqui,26,BR,1572065389,71,-29.13,-56.55,286.96,3.89
Vasyurinskaya,90,RU,1572065389,93,45.12,39.42,284.15,1.0
Vilhena,100,BR,1572065390,97,-12.74,-60.15,293.7,1.95
Dongsheng,100,CN,1572065390,60,29.72,112.52,286.67,3.54
Buraydah,40,SA,1572065390,100,26.33,43.97,293.15,1.06
Tuatapere,74,NZ,1572065390,67,-46.13,167.69,289.37,3.42
Darlington,1,US,1572065391,93,34.3,-79.88,291.15,2.09
Livingston,90,US,1572065391,100,32.58,-88.19,291.15,3.1
Mwandiga,69,TZ,1572065391,72,-4.84,29.66,298.07,3.82
Mugla,0,BG,1572065391,81,41.62,24.49,280.15,2.31
San Lorenzo,100,HN,1572065392,97,13.43,-87.45,295.93,1.05
Pembroke,90,CA,1572065392,93,45.82,-77.11,278.15,1.0
Samarai,56,PG,1572065392,74,-10.62,150.67,300.39,3.28
Gravdal,91,NO,1572065392,93,59.79,5.78,279.15,4.1
Grand-Lahou,100,CI,1572065392,87,5.24,-5.0,299.35,7.41
Kahului,20,US,1572065393,65,20.89,-156.47,301.15,4.1
Coihaique,75,CL,1572065393,76,-45.58,-72.07,283.15,3.6
Rawson,100,AR,1572065393,65,-43.3,-65.11,286.61,6.03
Muravlenko,40,RU,1572065393,93,63.79,74.5,263.76,5.68
Chapada dos Guimaraes,40,BR,1572065393,61,-15.46,-55.75,300.15,5.1
Cervo,11,BR,1572065394,91,-22.19,-46.24,289.76,2.33
Urengoy,95,RU,1572065394,94,65.96,78.37,265.62,4.27
Hualmay,16,PE,1572065394,89,-11.1,-77.61,286.76,1.13
Kadhan,0,PK,1572065394,20,24.48,68.99,307.06,4.51
Bontoc,13,PH,1572065394,60,17.09,120.98,296.99,2.13
Ngunguru,0,NZ,1572065394,65,-35.62,174.5,290.58,2.83
La Asuncion,0,AR,1572065395,72,-26.05,-65.39,287.43,2.48
Hervey Bay,0,AU,1572065395,44,-25.3,152.85,299.15,6.2
Kirakira,95,SB,1572065395,83,-10.46,161.92,299.95,3.82
Canutama,85,BR,1572065395,88,-6.53,-64.38,296.51,0.93
Ust-Nera,100,RU,1572065395,98,64.57,143.24,253.92,2.6
Torbat-e Jam,95,IR,1572065396,39,35.24,60.63,284.83,2.45
Goderich,54,CA,1572065396,73,43.74,-81.71,277.1,1.7
Savannakhet,75,TH,1572065396,59,16.57,104.76,305.15,1.0
Gazanjyk,34,TM,1572065396,22,39.24,55.52,291.5,4.18
Gat,91,SN,1572065397,94,14.69,-16.54,299.15,2.6
Pangkalanbuun,70,ID,1572065397,56,-2.68,111.62,305.68,2.33
La Rioja,0,AR,1572065397,52,-29.41,-66.86,291.55,1.09
Taltal,15,CL,1572065397,87,-25.41,-70.49,283.91,2.24
Usinsk,100,RU,1572065397,96,66.0,57.56,269.61,8.62
Portland,90,US,1572065398,87,43.66,-70.25,282.15,1.5
Iracoubo,4,GF,1572065398,76,5.48,-53.21,300.69,4.29
Cubuk,0,TR,1572065398,74,40.24,33.03,278.15,1.16
Rundu,83,NA,1572065398,31,-17.91,19.77,297.15,2.6
Motygino,94,RU,1572065398,70,58.18,94.69,271.32,3.14
Cabo San Lucas,40,MX,1572065104,73,22.89,-109.91,296.15,3.1
Yeppoon,0,AU,1572065399,39,-23.13,150.74,302.15,5.7
Kamskiye Polyany,43,RU,1572065399,93,55.43,51.42,276.15,6.0
Gharo,0,PK,1572065399,27,24.74,67.58,303.15,3.6
Fomboni,0,KM,1572065399,79,-12.28,43.74,299.94,5.03
Hamilton,90,CA,1572064884,87,43.26,-79.87,283.15,4.1
Deputatskiy,72,RU,1572065400,81,69.3,139.9,254.97,0.32
Kyabram,64,AU,1572065400,39,-36.31,145.05,289.8,8.78
Vostok,100,RU,1572065400,97,46.45,135.83,272.87,3.24
Bequimao,0,BR,1572065400,78,-2.45,-44.78,300.15,5.1
Arman,100,RU,1572065400,95,59.7,150.17,276.36,11.79
Mayo,5,CA,1572065401,85,63.59,-135.9,264.15,1.0
Sorong,72,ID,1572065401,88,-0.86,131.25,300.66,1.34
Dingzhou,41,CN,1572065401,41,38.51,115.0,288.15,3.0
Mwingi,68,KE,1572065401,79,-0.93,38.07,294.88,4.5
Kamenka,0,MD,1572065401,62,48.03,28.7,283.51,0.97
Masindi,56,UG,1572065402,97,1.69,31.72,292.42,0.9
Baykit,97,RU,1572065402,68,61.68,96.39,267.07,2.29
Caravelas,90,BR,1572065402,97,-17.73,-39.27,295.31,2.32
Homer,1,US,1572065402,74,59.64,-151.54,275.15,1.31
Sitia,0,GR,1572065402,68,35.21,26.11,293.45,6.45
Bemidji,1,US,1572065403,59,47.48,-94.89,281.15,4.6
Khartoum,19,SD,1572065403,19,15.59,32.54,297.15,5.7
Port Hardy,90,CA,1572065403,100,50.7,-127.42,280.15,1.0
Haines Junction,0,CA,1572065403,88,60.75,-137.51,263.79,1.56
Puerto Leguizamo,74,CO,1572065403,99,-0.19,-74.78,294.33,1.0
Kiama,27,AU,1572065404,43,-34.67,150.86,297.15,14.4
Marawi,62,PH,1572065404,90,8.0,124.29,296.43,1.56
Virginia Beach,75,US,1572065112,93,36.85,-75.98,289.15,3.02
San Carlos de Bariloche,40,AR,1572065404,76,-41.13,-71.31,283.15,4.6
Kununurra,73,AU,1572065404,37,-15.77,128.74,310.15,7.7
Pacifica,1,US,1572065405,63,37.61,-122.49,296.15,3.55
Pringsewu,62,ID,1572065405,46,-5.36,104.98,305.61,3.1
Zelenoborskiy,100,RU,1572065405,88,66.84,32.36,274.62,7.33
Jurmala,100,LV,1572065405,93,56.97,23.77,283.15,3.6
Vila Velha,75,BR,1572065367,74,-3.71,-38.6,300.15,6.2
Manaure,97,CO,1572065406,82,11.78,-72.45,301.34,10.04
Mercedes,0,UY,1572065406,87,-33.25,-58.03,287.75,3.52
Micheweni,27,TZ,1572065406,80,-4.97,39.83,300.21,3.72
Valleyview,88,CA,1572065406,92,55.07,-117.28,272.5,2.64
Diego de Almagro,0,CL,1572065406,41,-26.39,-70.05,285.02,0.43
Vanavara,100,RU,1572065406,93,60.35,102.28,268.92,7.44
Alghero,3,IT,1572065407,100,40.56,8.32,288.15,1.0
Wanning,90,AT,1572065407,100,48.64,13.53,281.15,1.5
Sitka,0,US,1572065407,50,37.17,-99.65,279.18,1.58
Santa Cruz,5,BR,1572065407,84,-6.22,-36.02,294.72,3.46
San Isidro,100,CR,1572065407,94,10.02,-84.06,293.15,2.1
Taoudenni,3,ML,1572065408,16,22.68,-3.98,295.34,4.03
Dingle,29,PH,1572065408,76,11.0,122.67,302.17,5.05
Chama,35,ZM,1572065408,30,-11.22,33.16,305.05,0.85
Matamoros,1,US,1572065408,48,25.87,-97.51,289.15,5.7
Cartagena,0,ES,1572065408,93,37.63,-1.0,285.15,1.5
Angoche,0,MZ,1572065409,53,-16.23,39.91,303.99,3.08
Shirokiy,2,RU,1572065409,81,53.87,39.17,281.29,6.31
Arona,0,IT,1572065131,100,45.76,8.56,284.15,3.1
Lagos,100,NG,1572065335,87,6.46,3.39,298.11,5.0
Nisia Floresta,40,BR,1572065409,88,-6.09,-35.21,299.15,6.2
Mekhe,56,SN,1572065410,94,15.11,-16.62,299.15,2.6
Hohhot,0,CN,1572065410,48,40.81,111.65,279.15,3.0
Horsham,8,AU,1572065410,43,-36.71,142.2,288.98,8.14
Ankazoabo,0,MG,1572065410,20,-22.29,44.51,306.97,3.76
Ozark,90,US,1572065411,100,37.02,-93.21,281.15,3.6
Natal,40,BR,1572065160,88,-5.81,-35.21,299.15,6.2
Boa Esperanca,8,BR,1572065411,87,-1.91,-60.0,296.25,0.83
Karratha,0,AU,1572065411,66,-20.74,116.85,300.0,6.99
Shibetsu,75,JP,1572065411,76,44.15,142.46,286.15,5.7
Horta,20,BR,1572065412,74,-10.93,-37.66,299.15,4.6
Changde,100,CN,1572065412,78,29.04,111.68,284.24,2.37
Killybegs,99,IE,1572065412,53,54.63,-8.45,281.24,5.4
Sirjan,0,IR,1572065412,27,29.44,55.67,294.22,2.33
Khujner,100,IN,1572065412,43,23.78,76.6,300.53,4.15
Tamale,51,GH,1572065413,77,9.4,-0.84,297.72,2.12
Grindavik,20,IS,1572065413,74,63.84,-22.43,274.15,6.2
Porbandar,40,IN,1572065413,42,21.64,69.61,301.15,5.1
La Ronge,90,CA,1572065413,100,55.1,-105.3,274.15,3.6
Port Lincoln,0,AU,1572065413,52,-34.72,135.86,289.29,6.72
Tofte,90,NO,1572065414,100,59.54,10.56,275.15,4.1
Minsk,90,BY,1572065414,100,53.9,27.56,283.15,3.0
Marsa Matruh,0,EG,1572065414,75,31.35,27.25,296.85,7.26
Awbari,47,LY,1572065414,20,26.59,12.77,294.13,1.63
Shush,100,RU,1572065414,93,55.6,89.45,270.69,3.07
Naron,96,ES,1572065415,67,43.52,-8.15,288.15,3.6
Sheopur,17,IN,1572065415,35,25.67,76.7,301.86,3.16
Leua,100,AO,1572065415,83,-11.65,20.45,293.04,1.42
Doctor Juan Manuel Frutos,0,PY,1572065415,57,-25.39,-55.83,292.98,3.35
Mamallapuram,75,IN,1572065415,88,12.63,80.17,301.15,2.1
Urcos,40,PE,1572065416,57,-13.69,-71.62,284.15,3.1
Upernavik,100,GL,1572065416,63,72.79,-56.15,273.3,5.03
Nabire,17,ID,1572065416,61,-3.36,135.5,303.47,2.19
High Level,75,CA,1572065416,68,58.52,-117.13,271.15,3.1
Dandong,2,CN,1572065416,30,40.12,124.37,285.09,4.11
Novo Cruzeiro,68,BR,1572065417,96,-17.47,-41.88,292.62,0.83
Sudislavl,90,RU,1572065417,88,57.88,41.71,281.21,5.65
Santiago del Estero,47,AR,1572065417,48,-27.8,-64.26,294.94,4.95
Merauke,49,ID,1572065417,60,-8.49,140.4,304.12,5.38
Axim,50,GH,1572065417,96,4.87,-2.24,296.35,1.32
Coquimbo,75,CL,1572065418,87,-29.95,-71.34,286.15,3.6
Manali,0,IN,1572065418,42,32.25,77.19,287.35,3.25
Chiredzi,26,ZW,1572065418,21,-21.05,31.67,308.04,3.48
Asosa,15,ET,1572065418,83,10.07,34.53,296.57,1.23
Babai,90,UA,1572065418,100,49.9,36.2,278.15,1.0
Surbo,40,IT,1572065419,77,40.4,18.13,293.15,5.7
Jiaocheng,100,CN,1572065419,64,24.68,116.14,294.93,2.18
Ichinohe,90,JP,1572065419,93,40.14,141.28,289.15,6.2
Sabang,45,PH,1572065419,58,13.8,121.11,303.39,5.09
Crotone,42,IT,1572065420,67,39.09,17.12,290.04,3.99
Mayumba,100,GA,1572065420,89,-3.44,10.65,297.69,5.68
Sao Miguel do Araguaia,58,BR,1572065420,87,-13.28,-50.16,296.36,1.64
Outjo,100,NA,1572065420,27,-20.11,16.16,290.15,0.5
Kota Belud,75,MY,1572065420,70,6.35,116.43,306.15,2.6
Shangqiu,100,CN,1572065421,22,34.42,115.65,290.06,2.51
Todi,0,IT,1572065421,93,42.78,12.41,286.15,4.6
Faridpur,75,BD,1572065421,88,23.6,89.84,297.15,2.6
Waipawa,30,NZ,1572065422,76,-39.94,176.59,288.42,0.41
Kalat,15,PK,1572065422,17,29.03,66.58,290.36,0.5
Matara,64,BI,1572065422,84,-3.48,29.48,290.95,4.04
Basco,1,US,1572065422,67,40.33,-91.2,277.15,2.1
Penzance,100,GB,1572065422,93,50.12,-5.53,288.15,14.9
Kirkland Lake,40,CA,1572065236,94,48.15,-80.03,273.15,3.6
Quelimane,0,MZ,1572065423,78,-17.88,36.89,300.15,3.6
Bilma,0,NE,1572065423,17,18.69,12.92,297.39,2.15
Fitjar,75,NO,1572065423,86,59.92,5.32,279.15,5.7
Juliaca,58,PE,1572065424,67,-15.49,-70.13,280.27,1.91
Correntina,66,BR,1572065424,78,-13.34,-44.63,294.3,1.15
San Jose,76,HN,1572065424,98,14.25,-87.96,290.87,1.29
Belle Fourche,1,US,1572065151,29,44.67,-103.85,289.15,9.8
Kosh-Agach,100,RU,1572065424,71,49.99,88.66,269.3,1.43
Mombetsu,75,JP,1572065425,81,44.35,143.35,285.15,4.6
Porangatu,39,BR,1572065425,84,-13.44,-49.14,295.91,1.2
Bajil,0,ES,1572065425,75,38.23,-2.07,283.01,0.33
New Milford,75,US,1572065296,87,40.94,-74.02,289.15,2.24
Gladstone,0,AU,1572065426,44,-23.84,151.26,299.15,5.7
Payo,0,ID,1572065426,30,-3.75,103.64,305.72,3.01
Saint-Louis,33,SN,1572065426,79,16.03,-16.5,300.26,6.67
Don Sak,20,TH,1572065426,66,9.32,99.69,305.15,1.5
Ponta Delgada,40,PT,1572065426,83,37.73,-25.67,294.15,4.1
Rio Gallegos,40,AR,1572065427,87,-51.62,-69.22,280.15,2.1
Nizhniy Baskunchak,0,RU,1572065427,43,48.22,46.83,286.6,2.79
Ayan,75,IR,1572065427,87,38.23,44.7,283.15,0.82
Wamba,76,CD,1572065427,94,2.14,27.99,295.2,0.86
Kontagora,98,NG,1572065427,87,10.4,5.47,296.45,0.93
Bolobo,100,CD,1572065427,87,-2.17,16.23,296.9,1.23
La Peca,80,PE,1572065428,92,-5.61,-78.44,291.4,1.46
Xichang,100,CN,1572065428,91,27.88,102.25,282.65,1.32
Santa Cruz de la Palma,75,ES,1572065428,88,28.68,-17.76,293.15,2.1
Demirci,0,TR,1572065428,61,39.05,28.66,285.38,4.05
Campbell River,5,CA,1572065429,49,50.02,-125.24,283.15,6.7
Kajaani,90,FI,1572065429,86,64.22,27.73,277.15,8.7
Caxito,71,BR,1572065429,98,-22.65,-42.51,292.2,0.2
Mantua,0,IT,1572065429,100,45.16,10.79,285.15,1.5
Ondarroa,31,ES,1572065429,59,43.32,-2.42,290.15,2.6
Eldorado,100,BR,1572065430,97,-24.52,-48.11,293.59,1.17
Lufilufi,16,WS,1572065430,72,-13.87,-171.6,300.83,3.45
Gambela,3,ET,1572065430,74,8.25,34.59,298.17,2.77
Ugoofaaru,11,MV,1572065431,74,5.67,73.0,301.12,3.6
Beatrice,1,US,1572065401,60,40.27,-96.75,278.15,3.1
Pueblo Nuevo,0,AR,1572065431,46,-32.93,-68.73,294.15,1.5
Brainerd,1,US,1572065148,60,46.36,-94.2,282.15,3.1
Henties Bay,0,NA,1572065431,51,-22.12,14.28,290.67,1.09
Quatre Cocos,20,MU,1572065432,69,-20.21,57.76,299.15,3.42
Svoge,0,BG,1572065432,86,42.96,23.35,276.15,1.5
Longyearbyen,75,NO,1572065432,85,78.22,15.63,268.15,3.1
Altamira,7,BR,1572065432,82,-3.2,-52.21,297.33,0.83
Leshukonskoye,100,RU,1572065432,96,64.9,45.76,279.04,4.12
Ca Mau,100,VN,1572065432,79,9.18,105.15,302.55,5.05
Ixtapa,5,MX,1572065433,88,20.71,-105.21,299.15,1.39
Mehamn,100,NO,1572065433,82,71.03,27.85,270.37,7.44
Broken Hill,0,AU,1572065433,16,-31.97,141.45,295.15,7.7
